Analyte ID,m/z,Mode,Analyte Name,Formula,KEGG ID,HMDB ID,MSI Confidence Level
191.1027_10.23,191.1027,pHILIC,Diaminopimelic acid,C7H14N2O4,C00666,HMDB01370,2
518.3217_5.91,518.3217,pHILIC,0,0,0,0,0
121.0648_0.93,121.0648,pHILIC,0,0,0,0,0
147.0651_0.94,147.0651,pHILIC,0,0,0,0,0
211.1329_0.94,211.1329,pHILIC,0,0,0,0,0
279.2318_1.09,279.2318,pHILIC,C18:3 FA,C18H30O2,C06427,HMDB01388,NA
281.2475_1.09,281.2475,pHILIC,C18:2 FA,C18H32O2,C01595,HMDB00673,NA
768.5537_4.21,768.5537,pHILIC,Lipids PC(35:4)(2),NA,NA,NA,NA
162.0761_4.1,162.0761,pHILIC,C6H11NO4(1),NA,NA,NA,NA
205.0971_6.69,205.0971,pHILIC,L-Tryptophan,C11H12N2O2,C00078,HMDB00929,1
221.092_7.26,221.092,pHILIC,Oxindolylalanine(2),C11H12N2O3,NA,NA,3
182.0812_7.89,182.0812,pHILIC,L-Tyrosine,C9H11NO3,C00082,HMDB00158,1
253.0818_7.83,253.0818,pHILIC,0,0,0,0,0
468.3081_5.97,468.3081,pHILIC,LysoPC(14:0),C22H46NO7P,C04230,HMDB10379,2
568.3392_5.79,568.3392,pHILIC,LysoPC(22:6),C30H50NO7P,C04230,HMDB10404,2
703.5743_5.56,703.5743,pHILIC,Lipids SM(d18:1/16:0),NA,C00550,HMDB13464,NA
887.5638_5.12,887.5638,pHILIC,Lipids PI(38:4),C47H83O13P,0,0,NA
247.1441_5.05,247.1441,pHILIC,Tryptophan betaine(1),C14H18N2O2,C09213,HMDB61115,3
209.092_6.31,209.092,pHILIC,L-Kynurenine,C10H12N2O3,C00328,HMDB00684,1
706.4646_6.76,706.4646,pHILIC,Lipids PS(30:1),C36H68NO10P,0,0,NA
734.4961_6.75,734.4961,pHILIC,0,0,0,0,0
638.4027_7.43,638.4027,pHILIC,0,0,0,0,0
218.1185_7.98,218.1185,pHILIC,0,0,0,0,0
171.0765_7.97,171.0765,pHILIC,C7H10N2O3,C7H10N2O3,NA,NA,4
262.1284_8.11,262.1284,pHILIC,"C4:0,DC AC (Succinylcarnitine)",C11H19NO6,NA,HMDB61717,2
120.0656_8.89,120.0656,pHILIC,L-Threonine,C4H9NO3,C00188,HMDB00167,1
143.0816_8.98,143.0816,pHILIC,Ectoine,C6H10N2O2,C06231,NA,1
132.0656_8.8,132.0656,pHILIC,Hydroxyproline,C5H9NO3,C04397,HMDB02113,1
377.0557_10.66,377.0557,pHILIC,0,0,0,0,0
315.0799_11.58,315.0799,pHILIC,EDTA,C16H14N2O3S,C00284,HMDB15109,NA
132.0656_11.23,132.0656,pHILIC,EDTA,C5H9NO3,C00284,HMDB15109,NA
133.0973_12.88,133.0973,pHILIC,Ornithine,C5H12N2O2,C00077,HMDB03374,1
