Dataset,Feature,Name
Lipidome,CE.14.0.,CE(14:0)
Lipidome,CE.14.1.,CE(14:1)
Lipidome,CE.15.0.,CE(15:0)
Lipidome,CE.16.0.,CE(16:0)
Lipidome,CE.16.1.,CE(16:1)
Lipidome,CE.17.0.,CE(17:0)
Lipidome,CE.18.0.,CE(18:0)
Lipidome,CE.18.1.,CE(18:1)
Lipidome,CE.18.2.,CE(18:2)
Lipidome,CE.18.3.,CE(18:3)
Lipidome,CE.18.4.,CE(18:4)
Lipidome,CE.20.1.,CE(20:1)
Lipidome,CE.20.2.,CE(20:2)
Lipidome,CE.20.3.,CE(20:3)
Lipidome,CE.20.4.,CE(20:4)
Lipidome,CE.20.5.,CE(20:5)
Lipidome,CE.22.4.,CE(22:4)
Lipidome,CE.22.5.,CE(22:5)
Lipidome,CE.22.6.,CE(22:6)
Lipidome,CER.16.0.,CER(16:0)
Lipidome,CER.22.0.,CER(22:0)
Lipidome,CER.24.0.,CER(24:0)
Lipidome,CER.24.1.,CER(24:1)
Lipidome,DAG.16.0.16.0.,DAG(16:0/16:0)
Lipidome,DAG.16.0.18.1.,DAG(16:0/18:1)
Lipidome,DAG.16.0.18.2.,DAG(16:0/18:2)
Lipidome,DAG.16.1.18.1.,DAG(16:1/18:1)
Lipidome,DAG.16.1.18.2.,DAG(16:1/18:2)
Lipidome,DAG.18.0.18.1.,DAG(18:0/18:1)
Lipidome,DAG.18.0.18.2.,DAG(18:0/18:2)
Lipidome,DAG.18.1.18.1.,DAG(18:1/18:1)
Lipidome,DAG.18.1.18.2.,DAG(18:1/18:2)
Lipidome,DAG.18.1.20.4.,DAG(18:1/20:4)
Lipidome,FFA.12.0.,FFA(12:0)
Lipidome,FFA.14.0.,FFA(14:0)
Lipidome,FFA.14.1.,FFA(14:1)
Lipidome,FFA.15.0.,FFA(15:0)
Lipidome,FFA.16.0.,FFA(16:0)
Lipidome,FFA.16.1.,FFA(16:1)
Lipidome,FFA.17.0.,FFA(17:0)
Lipidome,FFA.18.0.,FFA(18:0)
Lipidome,FFA.18.1.,FFA(18:1)
Lipidome,FFA.18.2.,FFA(18:2)
Lipidome,FFA.18.3.,FFA(18:3)
Lipidome,FFA.18.4.,FFA(18:4)
Lipidome,FFA.20.0.,FFA(20:0)
Lipidome,FFA.20.1.,FFA(20:1)
Lipidome,FFA.20.2.,FFA(20:2)
Lipidome,FFA.20.3.,FFA(20:3)
Lipidome,FFA.20.4.,FFA(20:4)
Lipidome,FFA.20.5.,FFA(20:5)
Lipidome,FFA.22.0.,FFA(22:0)
Lipidome,FFA.22.1.,FFA(22:1)
Lipidome,FFA.22.2.,FFA(22:2)
Lipidome,FFA.22.4.,FFA(22:4)
Lipidome,FFA.22.5.,FFA(22:5)
Lipidome,FFA.22.6.,FFA(22:6)
Lipidome,FFA.24.0.,FFA(24:0)
Lipidome,FFA.24.1.,FFA(24:1)
Lipidome,HCER.16.0.,HCER(16:0)
Lipidome,HCER.22.0.,HCER(22:0)
Lipidome,HCER.22.1.,HCER(22:1)
Lipidome,HCER.24.0.,HCER(24:0)
Lipidome,HCER.24.1.,HCER(24:1)
Lipidome,LCER.16.0.,LCER(16:0)
Lipidome,LCER.24.1.,LCER(24:1)
Lipidome,LPC.15.0.,LPC(15:0)
Lipidome,LPC.16.0.,LPC(16:0)
Lipidome,LPC.16.1.,LPC(16:1)
Lipidome,LPC.17.0.,LPC(17:0)
Lipidome,LPC.18.0.,LPC(18:0)
Lipidome,LPC.18.1.,LPC(18:1)
Lipidome,LPC.18.2.,LPC(18:2)
Lipidome,LPC.20.3.,LPC(20:3)
Lipidome,LPC.20.4.,LPC(20:4)
Lipidome,LPE.16.0.,LPE(16:0)
Lipidome,LPE.18.0.,LPE(18:0)
Lipidome,LPE.18.1.,LPE(18:1)
Lipidome,LPE.18.2.,LPE(18:2)
Lipidome,LPE.20.4.,LPE(20:4)
Lipidome,PC.14.0.18.1.,PC(14:0/18:1)
Lipidome,PC.14.0.18.2.,PC(14:0/18:2)
Lipidome,PC.14.0.20.3.,PC(14:0/20:3)
Lipidome,PC.14.0.20.4.,PC(14:0/20:4)
Lipidome,PC.15.0.18.1.,PC(15:0/18:1)
Lipidome,PC.15.0.18.2.,PC(15:0/18:2)
Lipidome,PC.16.0.14.0.,PC(16:0/14:0)
Lipidome,PC.16.0.16.0.,PC(16:0/16:0)
Lipidome,PC.16.0.16.1.,PC(16:0/16:1)
Lipidome,PC.16.0.18.0.,PC(16:0/18:0)
Lipidome,PC.16.0.18.1.,PC(16:0/18:1)
Lipidome,PC.16.0.18.2.,PC(16:0/18:2)
Lipidome,PC.16.0.18.3.,PC(16:0/18:3)
Lipidome,PC.16.0.20.1.,PC(16:0/20:1)
Lipidome,PC.16.0.20.2.,PC(16:0/20:2)
Lipidome,PC.16.0.20.3.,PC(16:0/20:3)
Lipidome,PC.16.0.20.4.,PC(16:0/20:4)
Lipidome,PC.16.0.20.5.,PC(16:0/20:5)
Lipidome,PC.16.0.22.4.,PC(16:0/22:4)
Lipidome,PC.16.0.22.5.,PC(16:0/22:5)
Lipidome,PC.16.0.22.6.,PC(16:0/22:6)
Lipidome,PC.17.0.18.1.,PC(17:0/18:1)
Lipidome,PC.17.0.18.2.,PC(17:0/18:2)
Lipidome,PC.17.0.20.4.,PC(17:0/20:4)
Lipidome,PC.18.0.16.1.,PC(18:0/16:1)
Lipidome,PC.18.0.18.0.,PC(18:0/18:0)
Lipidome,PC.18.0.18.1.,PC(18:0/18:1)
Lipidome,PC.18.0.18.2.,PC(18:0/18:2)
Lipidome,PC.18.0.18.3.,PC(18:0/18:3)
Lipidome,PC.18.0.20.2.,PC(18:0/20:2)
Lipidome,PC.18.0.20.3.,PC(18:0/20:3)
Lipidome,PC.18.0.20.4.,PC(18:0/20:4)
Lipidome,PC.18.0.20.5.,PC(18:0/20:5)
Lipidome,PC.18.0.22.4.,PC(18:0/22:4)
Lipidome,PC.18.0.22.5.,PC(18:0/22:5)
Lipidome,PC.18.0.22.6.,PC(18:0/22:6)
Lipidome,PC.18.1.16.1.,PC(18:1/16:1)
Lipidome,PC.18.1.18.1.,PC(18:1/18:1)
Lipidome,PC.18.1.18.2.,PC(18:1/18:2)
Lipidome,PC.18.1.20.2.,PC(18:1/20:2)
Lipidome,PC.18.1.20.3.,PC(18:1/20:3)
Lipidome,PC.18.1.20.4.,PC(18:1/20:4)
Lipidome,PC.18.1.22.6.,PC(18:1/22:6)
Lipidome,PC.18.2.16.1.,PC(18:2/16:1)
Lipidome,PC.18.2.18.2.,PC(18:2/18:2)
Lipidome,PC.18.2.20.3.,PC(18:2/20:3)
Lipidome,PC.18.2.20.4.,PC(18:2/20:4)
Lipidome,PC.20.0.18.2.,PC(20:0/18:2)
Lipidome,PE.16.0.18.1.,PE(16:0/18:1)
Lipidome,PE.16.0.18.2.,PE(16:0/18:2)
Lipidome,PE.16.0.20.4.,PE(16:0/20:4)
Lipidome,PE.16.0.22.4.,PE(16:0/22:4)
Lipidome,PE.18.0.18.0.,PE(18:0/18:0)
Lipidome,PE.18.0.18.1.,PE(18:0/18:1)
Lipidome,PE.18.0.18.2.,PE(18:0/18:2)
Lipidome,PE.18.0.20.2.,PE(18:0/20:2)
Lipidome,PE.18.0.20.4.,PE(18:0/20:4)
Lipidome,PE.18.0.22.4.,PE(18:0/22:4)
Lipidome,PE.18.1.18.1.,PE(18:1/18:1)
Lipidome,PE.18.1.18.2.,PE(18:1/18:2)
Lipidome,PE.18.1.20.4.,PE(18:1/20:4)
Lipidome,PE.18.2.16.1.,PE(18:2/16:1)
Lipidome,PE.18.2.18.2.,PE(18:2/18:2)
Lipidome,PE.O.16.0.20.4.,PE(O-16:0/20:4)
Lipidome,PE.O.18.0.18.1.,PE(O-18:0/18:1)
Lipidome,PE.O.18.0.18.2.,PE(O-18:0/18:2)
Lipidome,PE.O.18.0.20.4.,PE(O-18:0/20:4)
Lipidome,PE.P.16.0.18.1.,PE(P-16:0/18:1)
Lipidome,PE.P.16.0.18.2.,PE(P-16:0/18:2)
Lipidome,PE.P.16.0.20.4.,PE(P-16:0/20:4)
Lipidome,PE.P.16.0.22.4.,PE(P-16:0/22:4)
Lipidome,PE.P.18.0.16.0.,PE(P-18:0/16:0)
Lipidome,PE.P.18.0.18.1.,PE(P-18:0/18:1)
Lipidome,PE.P.18.0.18.2.,PE(P-18:0/18:2)
Lipidome,PE.P.18.0.20.4.,PE(P-18:0/20:4)
Lipidome,PE.P.18.0.22.4.,PE(P-18:0/22:4)
Lipidome,PE.P.18.1.18.1.,PE(P-18:1/18:1)
Lipidome,PE.P.18.1.18.2.,PE(P-18:1/18:2)
Lipidome,PE.P.18.1.20.4.,PE(P-18:1/20:4)
Lipidome,SM.14.0.,SM(14:0)
Lipidome,SM.16.0.,SM(16:0)
Lipidome,SM.18.0.,SM(18:0)
Lipidome,SM.18.1.,SM(18:1)
Lipidome,SM.20.0.,SM(20:0)
Lipidome,SM.20.1.,SM(20:1)
Lipidome,SM.22.0.,SM(22:0)
Lipidome,SM.22.1.,SM(22:1)
Lipidome,SM.24.0.,SM(24:0)
Lipidome,SM.24.1.,SM(24:1)
Lipidome,SM.26.0.,SM(26:0)
Lipidome,SM.26.1.,SM(26:1)
Lipidome,TAG42.0.FA16.0,TAG42:0-FA16:0
Lipidome,TAG42.1.FA16.0,TAG42:1-FA16:0
Lipidome,TAG42.1.FA18.1,TAG42:1-FA18:1
Lipidome,TAG44.0.FA12.0,TAG44:0-FA12:0
Lipidome,TAG44.0.FA14.0,TAG44:0-FA14:0
Lipidome,TAG44.0.FA16.0,TAG44:0-FA16:0
Lipidome,TAG44.1.FA12.0,TAG44:1-FA12:0
Lipidome,TAG44.1.FA14.0,TAG44:1-FA14:0
Lipidome,TAG44.1.FA16.0,TAG44:1-FA16:0
Lipidome,TAG44.1.FA16.1,TAG44:1-FA16:1
Lipidome,TAG44.1.FA18.1,TAG44:1-FA18:1
Lipidome,TAG44.2.FA14.0,TAG44:2-FA14:0
Lipidome,TAG44.2.FA16.0,TAG44:2-FA16:0
Lipidome,TAG44.2.FA16.1,TAG44:2-FA16:1
Lipidome,TAG44.2.FA18.1,TAG44:2-FA18:1
Lipidome,TAG44.2.FA18.2,TAG44:2-FA18:2
Lipidome,TAG45.0.FA15.0,TAG45:0-FA15:0
Lipidome,TAG45.0.FA16.0,TAG45:0-FA16:0
Lipidome,TAG45.1.FA16.0,TAG45:1-FA16:0
Lipidome,TAG46.0.FA12.0,TAG46:0-FA12:0
Lipidome,TAG46.0.FA14.0,TAG46:0-FA14:0
Lipidome,TAG46.0.FA16.0,TAG46:0-FA16:0
Lipidome,TAG46.0.FA18.0,TAG46:0-FA18:0
Lipidome,TAG46.1.FA12.0,TAG46:1-FA12:0
Lipidome,TAG46.1.FA14.0,TAG46:1-FA14:0
Lipidome,TAG46.1.FA14.1,TAG46:1-FA14:1
Lipidome,TAG46.1.FA16.0,TAG46:1-FA16:0
Lipidome,TAG46.1.FA16.1,TAG46:1-FA16:1
Lipidome,TAG46.1.FA18.1,TAG46:1-FA18:0
Lipidome,TAG46.2.FA12.0,TAG46:2-FA12:0
Lipidome,TAG46.2.FA14.0,TAG46:2-FA14:0
Lipidome,TAG46.2.FA14.1,TAG46:2-FA14:1
Lipidome,TAG46.2.FA16.0,TAG46:2-FA16:0
