pathway_name,pathway_source,num_overlapping_genes,overlapping_genes,num_all_pathway_genes,P_genes,Q_genes,num_overlapping_metabolites,overlapping_metabolites,num_all_pathway_metabolites,P_metabolites,Q_metabolites,P_joint,Q_joint
Metabolism,Reactome,13,APOM;DCTPP1;B4GAT1;DDC;PTS;GUSB;CA14;SMPD1;HS6ST1;HSD11B1;B4GALT1;CA6;AOC3,1952 (1954),0.52,1,39,HMDB00895;HMDB00824;HMDB06831;HMDB00172;HMDB00929;HMDB00855;HMDB01325;HMDB0000714;HMDB04234;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB00517;HMDB01388;HMDB00191;HMDB00158;HMDB13464;HMDB01999;HMDB00092;HMDB00641;HMDB00201;HMDB00162;HMDB0000619;HMDB00562;HMDB01830;HMDB04238;HMDB00043;HMDB00673;HMDB0007982#HMDB0007938;HMDB00063;HMDB00138;HMDB03533;HMDB01552;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB00277;HMDB00687;HMDB0000518;HMDB10164,863 (1411),1.27e-09,3.47e-06,1.46e-08,1.73e-05
Transport of small molecules,Reactome,1,PCSK9,641 (641),0.987,1,18,HMDB00641;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB00162;HMDB0000619;HMDB00517;HMDB00562;HMDB00043;HMDB00172;HMDB00929;HMDB00191;HMDB00158;HMDB0000518;HMDB00673;HMDB0007982#HMDB0007938;HMDB13464;HMDB10164;HMDB00687;HMDB00138,172 (219),1.96e-09,3.47e-06,4.07e-08,2.07e-05
Mitochondrial tRNA aminoacylation,Reactome,0,,21 (21),1,1,8,HMDB00641;HMDB00162;HMDB00517;HMDB00172;HMDB00929;HMDB00191;HMDB00158;HMDB00687,22 (65),4.32e-09,3.47e-06,8.75e-08,2.07e-05
Cytosolic tRNA aminoacylation,Reactome,0,,24 (24),1,1,8,HMDB00641;HMDB00162;HMDB00517;HMDB00172;HMDB00929;HMDB00191;HMDB00158;HMDB00687,22 (65),4.32e-09,3.47e-06,8.75e-08,2.07e-05
tRNA Aminoacylation,Reactome,0,,42 (42),1,1,8,HMDB00641;HMDB00162;HMDB00517;HMDB00172;HMDB00929;HMDB00191;HMDB00158;HMDB00687,22 (65),4.32e-09,3.47e-06,8.75e-08,2.07e-05
Aminoacyl-tRNA biosynthesis - Homo sapiens (human),KEGG,0,,66 (66),1,1,8,HMDB00641;HMDB00162;HMDB00517;HMDB00172;HMDB00929;HMDB00191;HMDB00158;HMDB00687,23 (52),6.52e-09,4.37e-06,1.29e-07,2.56e-05
tRNA charging,HumanCyc,0,,38 (38),1,1,8,HMDB00641;HMDB00162;HMDB00517;HMDB00172;HMDB00929;HMDB00191;HMDB00158;HMDB00687,24 (24),9.63e-09,5.53e-06,1.87e-07,3.17e-05
Na+/Cl- dependent neurotransmitter transporters,Reactome,0,,19 (19),1,1,8,HMDB00641;HMDB00162;HMDB00517;HMDB00172;HMDB00929;HMDB00158;HMDB00043;HMDB00687,28 (32),3.82e-08,1.74e-05,6.91e-07,9.13e-05
Translation,Reactome,0,,307 (307),1,1,8,HMDB00641;HMDB00162;HMDB00517;HMDB00172;HMDB00929;HMDB00191;HMDB00158;HMDB00687,29 (80),5.2e-08,1.74e-05,9.24e-07,9.13e-05
&gamma;-glutamyl cycle,HumanCyc,0,,11 (11),1,1,8,HMDB00641;HMDB00162;HMDB00517;HMDB00172;HMDB00929;HMDB00191;HMDB00158;HMDB00687,29 (29),5.2e-08,1.74e-05,9.24e-07,9.13e-05
Amino acid transport across the plasma membrane,Reactome,0,,32 (32),1,1,8,HMDB00641;HMDB00162;HMDB00517;HMDB00172;HMDB00929;HMDB00158;HMDB00043;HMDB00687,29 (32),5.2e-08,1.74e-05,9.24e-07,9.13e-05
leukotriene biosynthesis,HumanCyc,0,,6 (6),1,1,8,HMDB00641;HMDB00162;HMDB00517;HMDB00172;HMDB00929;HMDB00191;HMDB00158;HMDB00687,29 (30),5.2e-08,1.74e-05,9.24e-07,9.13e-05
Metabolism of lipids,Reactome,2,SMPD1;HSD11B1,645 (646),0.929,1,23,HMDB00895;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB0007982#HMDB0007938;HMDB04234;HMDB00824;HMDB01388;HMDB13464;HMDB01999;HMDB00201;HMDB0000619;HMDB01830;HMDB04238;HMDB00673;HMDB00063;HMDB00138;HMDB03533;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB00277;HMDB0000518;HMDB10164,352 (626),6.45e-08,2e-05,1.06e-06,9.64e-05
Central carbon metabolism in cancer - Homo sapiens (human),KEGG,1,RET,70 (70),0.369,1,8,HMDB00641;HMDB00162;HMDB00517;HMDB00172;HMDB00929;HMDB00191;HMDB00158;HMDB00687,35 (37),2.6e-07,6.53e-05,1.65e-06,0.000139
Transport of inorganic cations/anions and amino acids/oligopeptides,Reactome,0,,102 (102),1,1,9,HMDB00641;HMDB00162;HMDB00517;HMDB00172;HMDB00929;HMDB00191;HMDB00158;HMDB00043;HMDB00687,46 (55),1.81e-07,5.2e-05,2.99e-06,0.000236
<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate degradation,HumanCyc,0,,4 (4),1,1,8,HMDB00641;HMDB00162;HMDB00517;HMDB00172;HMDB00929;HMDB00191;HMDB00158;HMDB00687,34 (35),2.03e-07,5.46e-05,3.34e-06,0.000247
SLC-mediated transmembrane transport,Reactome,0,,243 (243),1,1,14,HMDB00641;HMDB00162;HMDB0000619;HMDB00517;HMDB00562;HMDB00043;HMDB00172;HMDB00929;HMDB00191;HMDB00158;HMDB0000518;HMDB00673;HMDB00687;HMDB00138,139 (164),3.09e-07,7.32e-05,4.95e-06,0.000345
Protein digestion and absorption - Homo sapiens (human),KEGG,0,,103 (103),1,1,8,HMDB00641;HMDB00162;HMDB00517;HMDB00172;HMDB00929;HMDB00191;HMDB00158;HMDB00687,44 (47),1.7e-06,0.00038,2.43e-05,0.0016
Immune System,Reactome,27,DEFB4A;HGF;S100P;RETN;IGF2R;TNFSF13;NFATC3;CLEC4A;CD28;GUSB;ATP6AP2;CLEC5A;SIGLEC6;PVR;NECTIN2;CEACAM8;TREM1;GRN;CKAP4;OSMR;KIR3DL1;IL1RL2;LILRA5;CTSV;CXADR;CD200R1;B4GALT1,1827 (1828),2.54e-05,0.119,3,HMDB10164;HMDB00517;HMDB0007982#HMDB0007938,65 (147),0.144,1,4.94e-05,0.00308
Transport of bile salts and organic acids_ metal ions and amine compounds,Reactome,0,,84 (84),1,1,9,HMDB00641;HMDB00162;HMDB00517;HMDB00562;HMDB00172;HMDB00929;HMDB00158;HMDB00043;HMDB00687,67 (79),5.07e-06,0.00107,6.69e-05,0.00397
Amino Acid metabolism,Wikipathways,2,DDC;AOC3,91 (91),0.12,1,9,HMDB00641;HMDB00162;HMDB00197;HMDB00517;HMDB00172;HMDB00929;HMDB00191;HMDB00158;HMDB00687,92 (108),6.99e-05,0.00446,0.000106,0.006
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Reactome,8,TREM1;KIR3DL1;LILRA5;SIGLEC6;CXADR;PVR;CD200R1;NECTIN2,215 (215),8.1e-05,0.19,1,HMDB10164,6 (20),0.116,1,0.000118,0.00636
Ibuprofen Action Pathway,SMPDB,0,,50 (50),1,1,9,HMDB04234;HMDB04238;HMDB10318#HMDB02596;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,74 (79),1.18e-05,0.00237,0.000145,0.00749
Metabolism of proteins,Reactome,14,B4GAT1;LYPD3;MDGA1;F7;AFP;ATP6AP2;ASGR1;TSHB;VWA1;LHB;PCSK9;B4GALT1;CKAP4;IGFBP3,1934 (1935),0.387,1,11,HMDB00641;HMDB00162;HMDB0000619;HMDB00517;HMDB00172;HMDB0007982#HMDB0007938;HMDB00191;HMDB00158;HMDB00929;HMDB00063;HMDB00687,131 (288),4.19e-05,0.00293,0.000195,0.00894
GPCR downstream signalling,Reactome,6,LHB;ADM;CRH;CXCL12;TSHB;CCL28,633 (633),0.234,1,10,HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB00517;HMDB0000619;HMDB0007982#HMDB0007938;HMDB01388;HMDB00277;HMDB0000518;HMDB10164;HMDB01999;HMDB00895,118 (152),9.14e-05,0.00566,0.000252,0.00894
Lumiracoxib Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,66 (72),3.91e-05,0.00293,0.000436,0.00894
Rofecoxib Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,66 (72),3.91e-05,0.00293,0.000436,0.00894
Salicylate-sodium Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,66 (72),3.91e-05,0.00293,0.000436,0.00894
Flurbiprofen Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,66 (72),3.91e-05,0.00293,0.000436,0.00894
Valdecoxib Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,66 (72),3.91e-05,0.00293,0.000436,0.00894
Nabumetone Action Pathway,SMPDB,0,,30 (30),1,1,8,HMDB04234;HMDB04238;HMDB10382#HMDB10383#HMDB10404#HMDB10395#HMDB10397;HMDB02752;HMDB02710;HMDB60095;HMDB04236;HMDB0007982#HMDB0007938,66 (72),3.91e-05,0.00293,0.000436,0.00894
